datetime,SHA_storage,SHA_tocs,SHA_available_storage,SHA_out,FOL_storage,FOL_tocs,FOL_available_storage,FOL_out,ORO_storage,ORO_tocs,ORO_available_storage,ORO_out,YRS_storage,YRS_tocs,YRS_available_storage,YRS_out,NML_storage,NML_tocs,NML_available_storage,NML_out,DNP_storage,DNP_tocs,DNP_available_storage,DNP_out,EXC_storage,EXC_tocs,EXC_available_storage,EXC_out,DEL_TRP_pump,DEL_HRO_pump,DEL_total_outflow,DEL_SWP_allocation,DEL_CVP_allocation,DEL_X2,DEL_SCINDEX,DEL_SJINDEX
1996-10-01,3090.0,4552.0,-4974.383915744219,15.37983468484416,724.0,975.0,-1126.2188407856352,3.710690477527742,2740.0,3349.5,-2082.070361903813,2.46743801237376,694.0,912.0,-95.60330538163157,1.0056198330172799,1990.0,2270.0,0.0,1.42413222900672,1690.0,1770.0,0.0,3.335999994382176,699.0,849.6,0.0,1.89024793070112,8.528925605472,13.249586754547199,14.960740045359522,0.0,0.0,82.0,10.26,4.12
1996-10-02,3084.2757024889784,4530.333333333333,2626.747434383321,15.397685924483522,723.2109624101142,967.0,1828.8885126538948,3.7058517678503224,2740.837024791979,3337.0666666666666,-1284.3190716803838,3.45719007682272,692.9943801669828,908.2333333333333,259.0161443611272,1.388429749728,1990.795371899487,2260.0,0.0,1.145256196418496,1686.6330578569098,1758.5714285714287,0.0,3.359801647234656,697.0927410280052,843.7666666666667,0.0,1.3943801629411199,8.528925605472,13.249586754547199,14.843636873061232,272.2657311156744,3118.955686421657,81.88411704557052,10.26,4.12
1996-10-03,3077.998016549137,4508.666666666667,1925.9830488216935,15.38380162698624,722.3613089845616,959.0,1120.53792087217,3.7010130581729035,2741.499504129706,3324.633333333333,-651.1477208950632,3.46314049003584,691.6059504172548,904.4666666666667,260.75521379840984,1.388429749728,1992.1631735500762,2250.0,0.0,3.5063801593845128,1683.242314060967,1747.142857142857,0.0,2.9869090858791356,695.6912671791256,837.9333333333334,0.0,1.28330578296288,8.528925605472,13.174665934781256,7.93388428416,287.25438730750426,2628.750568313399,81.77968242082586,10.26,4.12
1996-10-04,3071.4525620147056,4487.0,2206.000874431106,15.35404956092064,720.1974860064447,951.0,1044.82702520139,3.696174348495484,2743.4730578453905,3312.2,-525.5545222245978,3.48495867181728,690.2375200063361,900.7,282.066165757116,1.388429749728,1990.792991734202,2240.0,0.0,1.145256196418496,1682.3090909220425,1735.7142857142858,0.0,4.7640991655309755,694.390950354869,832.1,0.0,1.13652892370592,8.528925605472,11.623909872335258,7.933884284159998,321.7400052009916,2703.2431177538356,82.08553668166327,10.26,4.12
1996-10-05,3066.561322353521,4465.333333333333,1547.6734851411125,15.34016526342336,718.6196587618199,943.0,1108.2886546215896,3.6913356388180647,2745.545785114627,3299.766666666667,-545.5009625333462,3.45719007682272,688.8690895954174,896.9333333333333,326.82540565949716,1.388429749728,1992.1885619797856,2230.0,0.0,1.18611570048192,1677.5140496078034,1724.2857142857142,0.0,4.819636355520096,693.2374103898694,826.2666666666667,0.0,1.3527272704492799,8.528925605472,13.249586754547199,11.254509179800689,378.1231549757081,2498.0252257613224,82.37456895815463,10.26,4.12
1996-10-06,3057.8062810459505,4443.666666666667,1053.7181975935232,15.318347081641921,717.2807198132554,935.0,1060.8133031235411,3.6864969291406453,2747.6323966813607,3287.3333333333335,-569.118118801456,3.46512396110688,687.5006591844988,893.1666666666666,338.42701808674053,1.388429749728,1992.9680661107043,2220.0,0.0,1.145256196418496,1674.38909093538,1712.857142857143,0.0,4.274181810984096,691.8676720781265,820.4333333333334,0.0,1.83074379856992,8.528925605472,13.249586754547199,8.914331631080772,402.9743541574986,2157.176128744424,82.42191734188643,10.26,4.12
1996-10-07,3051.1041322969063,4422.0,1078.8786890037627,15.32826443699712,715.4170327984004,927.0,1035.094323649079,3.681658219463226,2749.6575206448924,3274.9,-380.81405188363976,3.45917354789376,686.1322287735801,889.4,345.26014161573653,1.388429749728,1993.3679338786258,2210.0,0.0,1.4558677661433599,1670.9904132551528,1701.4285714285713,0.0,3.3260826390269758,690.0576031886127,814.6,0.0,1.04925619658016,8.528925605472,9.404170606520726,7.933884284160002,423.0570644410418,2165.1465662856735,82.61720213305465,10.26,4.12
1996-10-08,3044.076694292212,4400.333333333333,979.3143555633025,15.330247908068161,714.1928952359558,919.0,1034.8967218973148,3.6768195097858065,2751.5537189888064,3262.4666666666667,-319.83468205095534,3.46314049003584,684.7637983626614,885.6333333333333,358.6332835040415,5.9480113179452845,1994.2902479266593,2200.0,0.0,2.576925615495168,1667.8614876405873,1690.0,0.0,3.3181487547428157,688.9913359507389,808.7666666666667,0.0,1.0274380147987199,8.528925605472,12.881491979271672,7.933884284159996,445.83437693586757,2073.913556698921,82.87699280971947,10.26,4.12
1996-10-09,3036.6763637261615,4378.666666666667,906.7949758590361,15.314380139499841,712.3726046486635,911.0,1137.3275267261854,3.671980800108387,2753.757355348732,3250.0333333333333,-287.44455161737534,3.4710743743199997,678.8357863835254,881.8666666666667,383.5398423141253,1.388429749728,1994.281917348161,2190.0,0.0,2.8994380116462715,1666.0059504536293,1690.0,0.0,3.268561977966816,688.0976306960455,802.9333333333334,0.0,1.2396694194,8.528925605472,10.29340227656122,7.933884284159996,483.62242772522296,2112.3539074289974,83.12249499916773,10.26,4.12
1996-10-10,3028.3914050624276,4357.0,757.1973630489261,15.318347081641921,712.1459130989516,903.0,1152.3104948579949,3.6671420904309677,2753.693884274459,3237.6,-317.11556303088884,3.4651239611068796,677.4673559726067,878.1,413.93504285166443,3.84396693567552,1993.8340495803202,2180.0,0.0,1.145256196418496,1663.9897521099172,1690.0,0.0,4.912859495858976,686.8409502353518,797.1,0.0,1.0314049569408,8.528925605472,13.249586754547199,8.593885883787227,524.3110305393234,1986.2681883561688,83.35449456819633,10.26,4.12
1996-10-11,3022.320000113974,4335.333333333333,786.5418160077439,15.3123966684288,710.6090189388176,895.0,1086.9548229180773,3.6623033807535483,2753.1801652670597,3225.1666666666665,-381.796191149964,3.4353718950412797,673.6433883757404,874.3333333333334,429.7423340523658,3.1483832026989926,1994.5671404881764,2170.0,0.0,1.6706776831369925,1660.3292562483127,1690.0,0.0,4.9307107354983355,685.7925342371173,791.2666666666667,0.0,0.892561981968,8.528925605472,10.98152955163545,7.933884284160001,553.3679084945719,1958.7858949805411,83.52212972854643,10.26,4.12
1996-10-12,3016.4509092147664,4313.666666666667,691.1804803285,15.308429726286722,708.7120048112897,887.0,1060.5720308812497,3.657464671076129,2754.483305760733,3212.733333333333,-397.42046283521086,3.4373553661123197,670.5150045118507,870.5666666666667,464.28733509423967,8.64955750650097,1995.1814214788774,2160.0,0.0,1.93190082319296,1656.589421543867,1690.0,0.0,5.492033048602655,684.8829612138555,785.4333333333334,0.0,1.28727272510496,8.528925605472,13.249586754547199,9.372080033759211,598.8944390880813,1845.5706928699417,83.73214938745922,10.26,4.12
1996-10-13,3008.9514050951643,4292.0,528.0869374930936,15.439338816975361,707.3712343511884,879.0,1024.3683387876165,3.6526259613987095,2756.427107410352,3200.3,-441.74598610341144,3.44528925039648,661.885446344159,866.8,473.75987517037197,2.189318436544577,1994.6597685871939,2150.0,0.0,2.00528925282144,1651.0664463465562,1690.0,0.0,2.118148756763616,683.5786774474569,779.6,0.0,1.60264462540032,8.528925605472,10.530671662774747,7.9338842841599995,621.6165659187608,1654.8023835463741,83.82303332680684,10.26,4.12
1996-10-14,2999.08363651674,4270.333333333333,372.15222619623785,16.07801650185024,705.5255505355071,871.0,956.9387302940827,3.64778725172129,2756.2644627825266,3187.866666666667,-537.8454862631322,4.011758499763525,660.1685708820255,863.0333333333333,482.92678165540735,1.4606280967138559,1994.0349751998162,2140.0,0.0,3.2265123912607683,1650.3077686618835,1690.0,0.0,2.0645950378455358,681.9590217807629,773.7666666666667,0.0,1.56297520397952,8.528925605472,9.283611864452372,7.9338842841599995,641.3141440665709,1439.9669893614564,84.0165032878153,10.26,4.12
1996-10-15,2989.6760332267977,4248.666666666667,249.58070052457094,16.56991732746816,703.6073500577327,863.0,935.7412861305966,3.6429485420438708,2755.658324111739,3175.4333333333334,-593.199768601143,3.7674705062865352,659.1803857597226,859.2666666666667,485.3805198243499,1.388429749728,1992.8038347060217,2130.0,0.0,1.60859503861344,1648.6585124663138,1690.0,0.0,2.735008259857056,680.3790355354897,767.9333333333334,0.0,2.07867768244992,8.528925605472,9.685321523838315,7.933884284160001,653.0514940999658,1304.7269451317757,84.19933240096829,10.26,4.12
1996-10-16,2980.944793572079,4227.0,176.4060934511391,16.92495864918432,702.0986163881279,855.0,932.7309795662038,3.6381098323664514,2755.8577957475327,3163.0,-616.5905010969462,4.829527872571012,658.2643989844057,855.5,489.29132993948417,1.388429749728,1993.1509421434537,2120.0,0.0,1.48760330328,1646.4796694947765,1690.0,0.0,3.084099168360096,678.2833468117461,762.1,0.0,1.41024793150944,8.528925605472,9.681323653306844,7.933884284159997,666.6476257389384,1237.070957099423,84.37210591289787,10.26,4.12
