,,,,,,,,,,,,,,Table 26
,,,,,U. S. D,epartme,nt of I,nterior,#NAME?,au of,Reclam,ation,,
,,,,,,Central,Valley,Operat,ions Of,fice,,,,
,,,,,Sa,n Luis,and Cro,ss Vall,ey Cana,ls,,,,
,,,,,,,2004,,,,,,,
Monthly Deliveries in AF,,,,,,,,,,,,,,
Water User,Canal,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total
City of Avenal,SAN LUIS CANAL,182,168,204,225,266,271,303,289,277,227,198,186,2796
Broadview WD,SAN LUIS CANAL,2,0,0,2,1,3,2,2,3,3,1,2,21
City of Coalinga,SAN LUIS CANAL,325,343,405,578,761,852,1146,1123,826,544,328,361,7592
City of Dos Palos,SAN LUIS CANAL,69,68,92,127,161,173,194,179,156,111,72,68,1470
City of Huron,SAN LUIS CANAL,48,47,69,77,113,120,141,126,103,84,70,51,1049
Pacheco WD,SAN LUIS CANAL,1,1,1,101,29,2321,2992,1725,732,379,1,1,8284
Pacheco CCID Non-project (Hamburg),SAN LUIS CANAL,329,724,885,1438,2207,0,0,0,0,0,104,123,5810
Panoche WD,SAN LUIS CANAL,4250,4383,3534,3809,6957,13153,11660,6501,833,458,73,206,55817
San Luis WD,SAN LUIS CANAL,2383,5047,5261,6667,10311,13435,12331,6961,3096,2447,402,235,68576
Westlands WD (Federal),SAN LUIS CANAL,60726,51482,82863,103574,146551,190101,164745,95799,34229,22838,10997,19515,983420
Fish & Game (Lateral 4 - Federal ),SAN LUIS CANAL,1,0,1,1,0,0,1,0,0,0,0,1,5
Fish & Game (Lateral 6 - Federal),SAN LUIS CANAL,0,0,0,0,0,0,0,0,0,0,0,90,90
Oneill Forebay Wildlife (Federal),O'NEILL FOREBAY DELIVERIES,60,65,69,74,30,37,79,114,71,74,82,71,826
San Luis WD Ag,O'NEILL FOREBAY DELIVERIES,54,316,649,1026,1353,1834,1725,986,562,325,76,16,8922
San Luis M&I,O'NEILL FOREBAY DELIVERIES,27,24,36,86,99,96,67,101,85,66,54,37,778
VA Cemetary,O'NEILL FOREBAY DELIVERIES,1,1,2,4,11,9,11,11,9,6,1,1,67
County of Fresno,CROSS VALLEY CANAL,0,0,0,0,0,0,0,1567,0,383,0,0,1950
County of Tulare,CROSS VALLEY CANAL,0,0,0,0,0,0,0,2036,0,742,0,0,2778
Lower Tule River ID,CROSS VALLEY CANAL,0,0,7766,0,0,0,0,6187,0,6565,85,0,20603
Pixley ID,CROSS VALLEY CANAL,0,0,0,0,0,0,0,10094,0,1706,85,0,11885
Kern-Tulare WD,CROSS VALLEY CANAL,0,0,4255,0,0,0,0,9628,0,9344,0,0,23227
Rag Gulch WD,CROSS VALLEY CANAL,0,0,4254,0,0,0,0,3082,0,320,0,0,7656
Hills-Valey ID,CROSS VALLEY CANAL,0,0,0,0,0,0,0,1283,0,468,0,0,1751
Tri-Valley ID,CROSS VALLEY CANAL,0,0,0,0,0,0,0,438,0,159,0,0,597
Santa Clara,SAN FELIPE DIVISION,9868,7309,4408,7591,12961,15850,16976,14572,12186,7315,10003,7592,126631
215 water,SAN FELIPE DIVISION,0,0,1110,0,0,0,0,0,0,0,0,0,1110
San Benito,SAN FELIPE DIVISION,1203,2629,1271,2381,3808,3846,4504,4014,2108,1032,825,832,28453
215 water,SAN FELIPE DIVISION,0,0,103,0,0,0,0,0,0,0,0,0,103
